component,N,B,mean_ms,std_ms
T_quant,130,1,2.5970651814714074,0.14446068438074114
T_quant,130,2,2.786218203837052,0.07872252271675698
T_quant,130,4,4.523592726327479,0.2048449887832301
T_quant,131,1,2.569911847822368,0.012436740185031374
T_quant,131,2,2.782922830665484,0.03362897356045139
T_quant,131,4,4.512413344345987,0.18655683631860837
T_quant,132,1,2.580056347651407,0.042621163433789765
T_quant,132,2,2.783574954373762,0.019758564110796985
T_quant,132,4,4.518921246053651,0.18824876159774054
T_quant,133,1,2.5735337275546044,0.014409431944398492
T_quant,133,2,2.786938961362466,0.03674466746127533
T_quant,133,4,4.5417094335425645,0.1799616045314048
T_quant,134,1,2.5778066471684724,0.020672144028512505
T_quant,134,2,2.797007098561153,0.03307743177163301
T_quant,134,4,4.586687193950638,0.19416142984297752
T_quant,135,1,2.5839456426911056,0.023026044701576775
T_quant,135,2,2.8265372128225863,0.20203241023420657
T_quant,135,4,4.589613312855363,0.19748463735764227
T_quant,136,1,2.577180750668049,0.02193488802996607
T_quant,136,2,2.7953220112249255,0.015543195302642546
T_quant,136,4,4.579150710487738,0.18997774955123822
T_quant,137,1,2.629399694269523,0.24095591433279537
T_quant,137,2,2.8122931078542024,0.05443422595120724
T_quant,137,4,4.641969403019175,0.19477707446619916
T_quant,138,1,2.5807187298778445,0.013195949613812773
T_quant,138,2,2.8026289434637874,0.014533864103702835
T_quant,138,4,4.651644695550203,0.20351231403608117
T_quant,139,1,2.600111609790474,0.04339992163991465
T_quant,139,2,2.8164291533175856,0.05999796807748221
T_quant,139,4,4.699111812515184,0.19656993967095315
T_quant,140,1,2.5865891785360873,0.012900054396758292
T_quant,140,2,2.833387206774205,0.1612939724306095
T_quant,140,4,4.701220825081691,0.21387012415460657
T_quant,141,1,2.5962952664121985,0.02236196548323131
T_quant,141,2,2.824398574884981,0.060256536010945765
T_quant,141,4,4.7070485015865415,0.20502440597750407
T_quant,142,1,2.5953547132667154,0.03561677351319447
T_quant,142,2,2.8327807469759136,0.05493174606648861
T_quant,142,4,4.743624767288566,0.23015992035679447
T_quant,143,1,2.6167422777507454,0.09837990316279184
T_quant,143,2,2.8299708559643477,0.03608470361186323
T_quant,143,4,4.761667045531794,0.21118916932379436
T_quant,144,1,2.598357063252479,0.039691226072032085
T_quant,144,2,2.829856836469844,0.01927665663378311
T_quant,144,4,4.8050162312574685,0.2256644967033823
T_quant,145,1,2.6067247602622956,0.06167460058871614
T_quant,145,2,2.894204802578315,0.27367886153489174
T_quant,145,4,4.810308045707643,0.21317974728038508
T_quant,146,1,2.608139456715435,0.04209818984565328
