method,image_idx,ratio,n_topk,n_spatial,n_out
advanced,295,0.2013888888888889,116,0,117
advanced,296,0.21180555555555555,122,0,123
advanced,297,0.2013888888888889,116,0,117
advanced,298,0.19444444444444445,112,0,113
advanced,299,0.2065972222222222,119,0,120
advanced,300,0.2048611111111111,118,0,119
advanced,301,0.1857638888888889,107,0,108
advanced,302,0.2170138888888889,125,0,126
advanced,303,0.21006944444444445,121,0,122
advanced,304,0.19444444444444445,112,0,113
advanced,305,0.21006944444444445,121,0,122
advanced,306,0.21180555555555555,122,0,123
advanced,307,0.19444444444444445,112,0,113
advanced,308,0.1996527777777778,115,0,116
advanced,309,0.21006944444444445,121,0,122
advanced,310,0.203125,117,0,118
advanced,311,0.1996527777777778,115,0,116
advanced,312,0.18229166666666666,105,0,106
advanced,313,0.22569444444444445,130,0,131
advanced,314,0.2048611111111111,118,0,119
advanced,315,0.21006944444444445,121,0,122
advanced,316,0.1909722222222222,110,0,111
advanced,317,0.2065972222222222,119,0,120
advanced,318,0.1857638888888889,107,0,108
advanced,319,0.2065972222222222,119,0,120
advanced,320,0.21354166666666666,123,0,124
advanced,321,0.203125,117,0,118
advanced,322,0.2048611111111111,118,0,119
advanced,323,0.22569444444444445,130,0,131
advanced,324,0.1996527777777778,115,0,116
advanced,325,0.19444444444444445,112,0,113
advanced,326,0.2152777777777778,124,0,125
advanced,327,0.2065972222222222,119,0,120
advanced,328,0.19791666666666666,114,0,115
advanced,329,0.2065972222222222,119,0,120
advanced,330,0.2013888888888889,116,0,117
advanced,331,0.21006944444444445,121,0,122
advanced,332,0.203125,117,0,118
advanced,333,0.1840277777777778,106,0,107
advanced,334,0.19270833333333334,111,0,112
advanced,335,0.18055555555555555,104,0,105
advanced,336,0.2013888888888889,116,0,117
advanced,337,0.1996527777777778,115,0,116
advanced,338,0.2048611111111111,118,0,119
advanced,339,0.18229166666666666,105,0,106
advanced,340,0.19444444444444445,112,0,113
advanced,341,0.21354166666666666,123,0,124
advanced,342,0.1857638888888889,107,0,108
advanced,343,0.1996527777777778,115,0,116
advanced,344,0.2170138888888889,125,0,126
advanced,345,0.21354166666666666,123,0,124
advanced,346,0.21354166666666666,123,0,124
advanced,347,0.21180555555555555,122,0,123
advanced,348,0.21006944444444445,121,0,122
advanced,349,0.2065972222222222,119,0,120
advanced,350,0.2013888888888889,116,0,117
advanced,351,0.2204861111111111,127,0,128
advanced,352,0.19618055555555555,113,0,114
advanced,353,0.1892361111111111,109,0,110
advanced,354,0.1840277777777778,106,0,107
advanced,355,0.21006944444444445,121,0,122
advanced,356,0.203125,117,0,118
advanced,357,0.1857638888888889,107,0,108
advanced,358,0.19791666666666666,114,0,115
advanced,359,0.1996527777777778,115,0,116
advanced,360,0.20833333333333334,120,0,121
advanced,361,0.2170138888888889,125,0,126
advanced,362,0.1996527777777778,115,0,116
advanced,363,0.19618055555555555,113,0,114
advanced,364,0.22569444444444445,130,0,131
advanced,365,0.21875,126,0,127
advanced,366,0.2048611111111111,118,0,119
advanced,367,0.19618055555555555,113,0,114
advanced,368,0.19618055555555555,113,0,114
advanced,369,0.2065972222222222,119,0,120
advanced,370,0.1892361111111111,109,0,110
advanced,371,0.2013888888888889,116,0,117
advanced,372,0.20833333333333334,120,0,121
advanced,373,0.20833333333333334,120,0,121
advanced,374,0.17881944444444445,103,0,104
advanced,375,0.20833333333333334,120,0,121
advanced,376,0.203125,117,0,118
advanced,377,0.19270833333333334,111,0,112
advanced,378,0.203125,117,0,118
advanced,379,0.2065972222222222,119,0,120
advanced,380,0.21354166666666666,123,0,124
advanced,381,0.19270833333333334,111,0,112
advanced,382,0.1996527777777778,115,0,116
advanced,383,0.20833333333333334,120,0,121
advanced,384,0.2048611111111111,118,0,119
advanced,385,0.21006944444444445,121,0,122
advanced,386,0.20833333333333334,120,0,121
advanced,387,0.19270833333333334,111,0,112
advanced,388,0.2013888888888889,116,0,117
advanced,389,0.2013888888888889,116,0,117
advanced,390,0.21006944444444445,121,0,122
advanced,391,0.21354166666666666,123,0,124
advanced,392,0.2152777777777778,124,0,125
advanced,393,0.2152777777777778,124,0,125
