method,image_idx,ratio,n_topk,n_spatial,n_out
plus,73,0.1996527777777778,115,460,576
plus,74,0.21006944444444445,121,454,576
plus,75,0.21006944444444445,121,455,577
plus,76,0.1736111111111111,100,475,576
plus,77,0.19618055555555555,113,462,576
plus,78,0.2152777777777778,124,451,576
plus,79,0.21354166666666666,123,452,576
plus,80,0.21006944444444445,121,454,576
plus,81,0.1996527777777778,115,460,576
plus,82,0.1857638888888889,107,469,577
plus,83,0.18055555555555555,104,472,577
plus,84,0.19270833333333334,111,464,576
plus,85,0.1909722222222222,110,465,576
plus,86,0.2204861111111111,127,448,576
plus,87,0.19618055555555555,113,462,576
plus,88,0.1996527777777778,115,460,576
plus,89,0.1892361111111111,109,466,576
plus,90,0.2048611111111111,118,457,576
plus,91,0.203125,117,459,577
plus,92,0.203125,117,458,576
plus,93,0.1892361111111111,109,466,576
plus,94,0.2170138888888889,125,451,577
plus,95,0.21180555555555555,122,453,576
plus,96,0.2013888888888889,116,459,576
plus,97,0.1909722222222222,110,465,576
plus,98,0.18229166666666666,105,470,576
plus,99,0.1840277777777778,106,469,576
plus,100,0.19791666666666666,114,462,577
plus,101,0.1840277777777778,106,469,576
plus,102,0.19270833333333334,111,464,576
plus,103,0.21180555555555555,122,454,577
plus,104,0.171875,99,476,576
plus,105,0.2013888888888889,116,459,576
plus,106,0.2013888888888889,116,459,576
plus,107,0.19791666666666666,114,461,576
plus,108,0.1840277777777778,106,469,576
plus,109,0.1875,108,467,576
plus,110,0.19791666666666666,114,462,577
plus,111,0.19791666666666666,114,462,577
plus,112,0.19444444444444445,112,463,576
plus,113,0.2170138888888889,125,450,576
plus,114,0.19444444444444445,112,464,577
plus,115,0.17708333333333334,102,473,576
plus,116,0.18055555555555555,104,471,576
plus,117,0.2013888888888889,116,459,576
plus,118,0.21875,126,449,576
plus,119,0.19270833333333334,111,464,576
plus,120,0.2065972222222222,119,456,576
plus,121,0.1996527777777778,115,460,576
plus,122,0.1857638888888889,107,468,576
plus,123,0.19791666666666666,114,462,577
plus,124,0.1996527777777778,115,460,576
plus,125,0.20833333333333334,120,456,577
plus,126,0.20833333333333334,120,455,576
plus,127,0.2170138888888889,125,450,576
plus,128,0.21180555555555555,122,453,576
plus,129,0.1892361111111111,109,467,577
plus,130,0.21354166666666666,123,452,576
plus,131,0.18055555555555555,104,472,577
plus,132,0.2152777777777778,124,451,576
plus,133,0.21875,126,450,577
plus,134,0.21875,126,449,576
plus,135,0.19270833333333334,111,465,577
plus,136,0.17708333333333334,102,473,576
plus,137,0.21006944444444445,121,455,577
plus,138,0.2048611111111111,118,457,576
plus,139,0.19791666666666666,114,462,577
plus,140,0.21354166666666666,123,453,577
plus,141,0.1840277777777778,106,469,576
plus,142,0.21006944444444445,121,454,576
plus,143,0.19791666666666666,114,461,576
plus,144,0.1857638888888889,107,469,577
plus,145,0.203125,117,459,577
plus,146,0.2048611111111111,118,457,576
plus,147,0.2013888888888889,116,459,576
plus,148,0.1857638888888889,107,468,576
plus,149,0.20833333333333334,120,456,577
plus,150,0.22743055555555555,131,444,576
plus,151,0.1875,108,467,576
plus,152,0.19791666666666666,114,461,576
plus,153,0.203125,117,459,577
plus,154,0.1857638888888889,107,468,576
plus,155,0.1875,108,467,576
plus,156,0.19618055555555555,113,462,576
plus,157,0.21354166666666666,123,452,576
plus,158,0.1892361111111111,109,466,576
plus,159,0.21006944444444445,121,454,576
plus,160,0.2013888888888889,116,459,576
plus,161,0.1736111111111111,100,476,577
plus,162,0.2204861111111111,127,448,576
plus,163,0.2204861111111111,127,449,577
plus,164,0.1840277777777778,106,469,576
plus,165,0.18055555555555555,104,471,576
plus,166,0.19444444444444445,112,463,576
plus,167,0.2065972222222222,119,456,576
plus,168,0.2065972222222222,119,457,577
plus,169,0.19270833333333334,111,464,576
plus,170,0.21354166666666666,123,452,576
plus,171,0.2048611111111111,118,457,576
plus,172,0.2170138888888889,125,450,576
plus,173,0.2152777777777778,124,451,576
plus,174,0.21180555555555555,122,453,576
plus,175,0.19444444444444445,112,463,576
plus,176,0.17881944444444445,103,473,577
plus,177,0.2048611111111111,118,457,576
plus,178,0.19444444444444445,112,463,576
plus,179,0.19791666666666666,114,461,576
plus,180,0.2065972222222222,119,457,577
plus,181,0.18229166666666666,105,471,577
plus,182,0.19444444444444445,112,464,577
plus,183,0.2204861111111111,127,449,577
plus,184,0.1909722222222222,110,466,577
plus,185,0.19618055555555555,113,462,576
