component,N,topk,mean_ms,std_ms
T_pm_plus,576,106,118.66040509194136,0.2549210693427212
T_pm_plus,576,107,118.86729206889868,0.22663280340975742
T_pm_plus,576,108,118.68792437016964,0.21573088790967923
T_pm_plus,576,109,118.61247774213552,0.19630477346671396
T_pm_plus,576,110,118.69303435087204,0.292127541476202
T_pm_plus,576,111,118.86220816522837,0.3535442734682575
T_pm_plus,576,112,118.63875603303313,0.231115654321705
T_pm_plus,576,113,118.76809624955058,0.22138188841774428
T_pm_plus,576,114,118.72973246499896,0.24003617888960083
T_pm_plus,576,115,118.85197702795267,0.3067917506183764
T_pm_plus,576,116,118.60592849552631,0.2135588064365319
T_pm_plus,576,117,118.76978380605578,0.15338971427817713
T_pm_plus,576,118,118.48363969475031,0.20539928183497358
T_pm_plus,576,119,118.54193015024066,0.2079846139357071
T_pm_plus,576,120,118.52362183853984,0.16212523026722547
T_pm_plus,576,121,118.53886917233467,0.38695948977450007
T_pm_plus,576,122,118.5637079179287,0.2078142170847696
T_pm_plus,576,123,118.51042211055756,0.22381705732874987
T_pm_plus,576,124,118.44251872971654,0.23168383935889258
T_pm_plus,576,125,118.61710222437978,0.21482759804883167
T_pm_plus,576,126,118.53960501030087,0.19863627365200817
T_pm_plus,576,127,118.80345940589905,0.16467044321694496
T_pm_plus,576,128,118.57931008562446,0.12469951000249983
T_pm_plus,576,129,118.15230185166001,0.21862206152422967
T_pm_plus,576,130,118.27250942587852,0.30914347083941746
T_pm_plus,576,131,118.42369167134166,0.40373949693356326
T_pm_plus,576,132,118.23835913091898,0.17355261196061053
T_pm_plus,576,133,118.20320505648851,0.15717423648178017
T_pm_plus,576,134,118.32139622420073,0.23114526472232017
T_pm_plus,576,135,118.05472988635302,0.1830165074503658
T_pm_plus,576,136,118.25151778757572,0.26921048330815484
T_pm_plus,576,137,118.18207250908017,0.1840179504756685
T_pm_plus,576,138,118.33391664549708,0.2164067552390085
T_pm_plus,576,139,118.2649283669889,0.11363012694435738
T_pm_plus,576,140,118.13083291053772,0.15013172206025724
T_pm_plus,576,141,118.27687546610832,0.38849171404659677
T_pm_plus,576,142,118.10319060459733,0.28254149318017396
T_pm_plus,576,143,118.17323425784707,0.2930512309626659
T_pm_plus,576,144,118.18249635398388,0.1768186191469643
T_pm_plus,576,145,118.17719265818596,0.2837202120386784
T_pm_plus,576,146,118.18905202671885,0.2612119739163391
T_pm_plus,576,147,118.06315584108233,0.20455225637921517
T_pm_plus,576,148,118.14257381483912,0.2987623129557534
T_pm_plus,576,149,118.26259335502982,0.27935343262987267
T_pm_plus,576,150,118.01210967823863,0.21494811792734034
T_pm_plus,576,151,118.1354533880949,0.36563295848602884
T_pm_plus,576,152,117.96187590807676,0.2836125884219846
T_pm_plus,576,153,117.8815957158804,0.26528401552956277
T_pm_plus,576,154,118.1885302066803,0.22189573596445153
T_pm_plus,576,155,118.01418773829937,0.19431784492610452
T_pm_plus,576,156,118.04208774119616,0.19647140742546634
T_pm_plus,576,157,118.0262022651732,0.19601700343371453
T_pm_plus,576,158,118.05640561506152,0.25946660205190564
T_pm_plus,576,159,118.06283826008439,0.2115208682813856
T_pm_plus,576,160,118.00567861646414,0.24211878257484956
T_pm_plus,576,161,118.18909430876374,0.4131843866219237
T_pm_plus,576,162,117.93618453666568,0.18448349972092348
T_pm_plus,576,163,117.9713168181479,0.1853091832082633
T_pm_plus,576,164,117.98976510763168,0.20776403158961046
